OSEBuildingID,DataYear,BuildingType,PrimaryPropertyType,PropertyName,Address,City,State,ZipCode,TaxParcelIdentificationNumber,CouncilDistrictCode,Neighborhood,Latitude,Longitude,YearBuilt,NumberofBuildings,NumberofFloors,PropertyGFATotal,PropertyGFAParking,PropertyGFABuilding(s),ListOfAllPropertyUseTypes,LargestPropertyUseType,LargestPropertyUseTypeGFA,SecondLargestPropertyUseType,SecondLargestPropertyUseTypeGFA,ThirdLargestPropertyUseType,ThirdLargestPropertyUseTypeGFA,YearsENERGYSTARCertified,ENERGYSTARScore,SiteEUI(kBtu/sf),SiteEUIWN(kBtu/sf),SourceEUI(kBtu/sf),SourceEUIWN(kBtu/sf),SiteEnergyUse(kBtu),SiteEnergyUseWN(kBtu),SteamUse(kBtu),Electricity(kWh),Electricity(kBtu),NaturalGas(therms),NaturalGas(kBtu),DefaultData,Comments,ComplianceStatus,Outlier,TotalGHGEmissions,GHGEmissionsIntensity
23554,2016,Multifamily LR (1-4),Low-Rise Multifamily,TOSCANO CONDO (ID23554),907 WARREN AVE N,Seattle,WA,98109,8663180000,7,MAGNOLIA / QUEEN ANNE,47.62747,-122.35447,1999,1,4,"28,766",0,"28,766",Multifamily Housing,Multifamily Housing,"28,766",,,,,,,27.39999962,29.5,66.59999847,70.5,"789,209.8125","849,904.8125",0,"152,608.0938","520,699","2,685.109863","268,511",false,,Compliant,,17.89,0.62
23557,2016,Multifamily LR (1-4),Low-Rise Multifamily,Towne Terrace,550 Aloha St,Seattle,WA,98109,8664800000,7,MAGNOLIA / QUEEN ANNE,47.62741,-122.34577,1981,1,4,"24,570",0,"24,570","Multifamily Housing, Parking",Multifamily Housing,"24,570",Parking,"2,780",,,,62,28.10000038,29.70000076,88.19999695,93.40000153,"690,259","730,658.3125",0,"202,303.2969","690,259",0,0,false,,Compliant,,4.81,0.2
23558,2016,Multifamily MR (5-9),Mid-Rise Multifamily,Trace Lofts,1408 12th Ave,Seattle,WA,98122,8664950000,3,EAST,47.61323,-122.31641,2007,1,5,"50,749",0,"50,749","Multifamily Housing, Retail Store",Multifamily Housing,"39,432",Retail Store,"11,317",,,,79,29.60000038,30.39999962,91.80000305,94.5,"1,501,111.75","1,545,004.5",0,"432,050","1,474,155",269.5700073,"26,957",false,,Compliant,,11.71,0.23
23559,2016,Multifamily MR (5-9),Mid-Rise Multifamily,Trace North,1412 12th Ave,Seattle,WA,98122,8664970000,3,EAST,47.61343,-122.31641,2007,1,6,"91,520",0,"91,520","Multifamily Housing, Retail Store",Multifamily Housing,"82,368",Retail Store,"9,152",,,,57,36.09999847,36.59999847,112.0999985,113.5,"3,304,112","3,345,715.5",0,"952,152.3125","3,248,744",553.6799316,"55,368",false,,Compliant,,25.59,0.28
23560,2016,Multifamily LR (1-4),Low-Rise Multifamily,Tramonti at Lake Union,2920 Eastlake Ave. East,Seattle,WA,98102,8669900000,4,LAKE UNION,47.64786,-122.32378,2004,1,4,"62,504","11,128","51,376",Multifamily Housing,Multifamily Housing,"53,931",,,,,,50,18.70000076,18.70000076,58.59999847,58.59999847,"1,006,989.688","1,006,989.688",0,"294,842.1875","1,006,002",9.880000114,988,false,,Compliant,,7.07,0.11
23561,2016,Multifamily MR (5-9),Mid-Rise Multifamily,Traugott Terrace,2317 3rd Ave,Seattle,WA,98121,8670350000,7,DOWNTOWN,47.6148,-122.34568,2003,1,7,"39,962",0,"39,962",Multifamily Housing,Multifamily Housing,"39,962",,,,,,74,38,40.40000153,80.09999847,84.69999695,"1,516,831.75","1,612,979.5",0,"225,339.9063","768,860","7,479.719727","747,972",false,,Compliant,,45.08,1.13
23562,2016,NonResidential,Mixed Use Property,The Travelers Hotel,80 Yesler Way,Seattle,WA,98104,8670450000,7,DOWNTOWN,47.60195,-122.33516,1913,1,3,"43,878",0,"43,878","Multifamily Housing, Non-Refrigerated Warehouse, Office, Retail Store",Multifamily Housing,"12,000",Office,"8,262",Retail Store,"6,312",,,23.39999962,23.39999962,73.5,73.5,"769,771.3125","769,771.3125",0,"225,607","769,771",0,0,false,,Compliant,,5.37,0.12
23566,2016,NonResidential,Other,ON THE BOARDS,100 West Roy St,Seattle,WA,98119,3879900640,7,MAGNOLIA / QUEEN ANNE,47.62591,-122.35843,1912,1,3,"34,976",0,"34,976",Performing Arts,Performing Arts,"34,976",,,,,,,25,27,66,68.09999847,"873,711.125","943,354.6875",0,"195,038.7031","665,472","2,082.389893","208,239",false,,Compliant,,15.7,0.45
23567,2016,Multifamily LR (1-4),Low-Rise Multifamily,Hamrick Apartments,702 2nd Ave W,Seattle,WA,98119,3879900650,7,MAGNOLIA / QUEEN ANNE,47.62584,-122.35896,1947,1,3,"22,604",0,"22,604",Multifamily Housing,Multifamily Housing,"22,604",,,,,,51,59.79999924,65.19999695,83.90000153,89.59999847,"1,351,808.75","1,474,822.75",0,"66,981.70313","228,542","11,232.66992","1,123,267",false,,Compliant,,61.25,2.71
23570,2016,Multifamily LR (1-4),Low-Rise Multifamily,Delamar Apartments,115 W Olympic Pl,Seattle,WA,98119,3879900670,7,MAGNOLIA / QUEEN ANNE,47.62662,-122.35876,1909,1,4,"46,296",0,"46,296",Multifamily Housing,Multifamily Housing,"46,296",,,,,,28,63.59999847,70.09999847,84.30000305,91.19999695,"2,942,890.75","3,244,258.25",0,"114,286.8984","389,947","25,529.43945","2,552,944",false,,Compliant,,138.31,2.99
